workout_type,distance,time,calories,total_steps,avg_speed,avg_cadence,max_cadence,avg_heart_rate,max_heart_rate,min_heart_rate,vo2_max(%),aerobic(%),anaerobic(%),intensive(%),light(%),calories_per_minute,calories_classes,heart_level,id
1,9.3,77,123,4081.1191335740073,18.88,168.54,138.3,112.5,122.0,103,19,28,2,7,50,1.5974025974025974,1,2,1000
1,3.44,96,55,4081.1191335740073,29.65,125.92,292.81,111.0,122.0,100,42,28,2,29,88,0.5729166666666666,1,2,1001
2,6.34,85,33,4081.1191335740073,17.85,81.93,323.69,95.0,90.0,100,1,32,0,22,43,0.38823529411764707,1,1,1002
10,7.91,42,82,1785.0,22.1,29.63,180.16,83.0,85.0,81,3,22,0,24,65,1.9523809523809523,1,1,1003
3,8.99,36,131,4081.1191335740073,25.83,64.55,342.89,138.0,166.0,110,7,0,5,21,88,3.638888888888889,1,2,1004
4,5.47,117,144,4081.1191335740073,2.2,43.47,291.67,142.0,177.0,107,44,45,15,57,39,1.2307692307692308,1,2,1005
2,6.28,66,378,4081.1191335740073,10.65,23.83,253.84,85.0,90.0,80,34,32,0,44,23,5.7272727272727275,2,1,1006
5,2.94,26,430,6209.0,10.59,131.93,334.72,145.0,190.0,100,23,0,71,18,3,16.53846153846154,2,2,1007
7,2.87,26,465,2790.0,32.92,21.42,341.17,142.0,188.0,96,2,0,80,46,13,17.884615384615383,2,2,1008
6,3.91,23,99,4081.1191335740073,33.15,169.3,206.97,132.5,175.0,90,22,20,15,28,20,4.304347826086956,1,2,1009
7,6.31,107,97,2790.0,22.99,27.99,139.21,138.5,188.0,89,38,0,80,13,16,0.9065420560747663,1,2,1010
5,2.37,65,524,6209.0,16.47,164.78,87.6,146.0,190.0,102,17,0,71,46,12,8.061538461538461,2,2,1011
2,3.5,43,158,4081.1191335740073,12.54,25.36,184.2,99.0,90.0,108,21,32,0,24,59,3.6744186046511627,1,1,1012
4,1.86,111,195,4081.1191335740073,19.95,15.99,317.51,134.5,177.0,92,26,45,15,64,84,1.7567567567567568,1,2,1013
1,8.41,70,412,4081.1191335740073,35.93,113.85,262.5,115.0,122.0,108,36,28,2,28,63,5.885714285714286,2,2,1014
3,6.77,102,333,4081.1191335740073,11.46,155.72,201.74,123.0,166.0,80,43,0,5,22,18,3.264705882352941,2,2,1015
9,5.69,78,248,5028.0,3.22,47.35,321.79,108.5,124.0,93,19,50,0,23,96,3.1794871794871793,1,1,1016
9,6.54,118,496,5028.0,2.99,87.5,135.87,113.0,124.0,102,17,50,0,63,37,4.203389830508475,2,2,1017
8,1.89,108,150,4550.0,31.49,69.99,198.7,103.0,105.0,101,26,26,7,46,64,1.3888888888888888,1,1,1018
3,1.48,47,441,4081.1191335740073,26.49,136.32,206.15,131.0,166.0,96,0,0,5,63,61,9.382978723404255,2,2,1019
2,2.21,90,377,4081.1191335740073,8.73,164.42,163.67,95.5,90.0,101,38,32,0,64,32,4.188888888888889,2,1,1020
3,9.45,76,72,4081.1191335740073,17.58,197.28,315.25,124.5,166.0,83,22,0,5,56,71,0.9473684210526315,1,2,1021
0,2.78,41,25,3444.0,29.89,126.56,129.14,95.5,92.0,99,6,40,10,35,56,0.6097560975609756,1,1,1022
8,5.66,76,368,4550.0,20.14,160.37,261.85,104.0,105.0,103,7,26,7,38,34,4.842105263157895,2,1,1023
0,3.71,92,343,3444.0,29.29,12.28,230.99,87.0,92.0,82,33,40,10,49,80,3.7282608695652173,2,1,1024
0,6.52,59,467,3444.0,26.87,59.96,205.4,101.0,92.0,110,20,40,10,35,94,7.915254237288136,2,1,1025
5,6.41,40,377,6209.0,19.67,75.95,255.54,138.5,190.0,87,38,0,71,45,88,9.425,2,2,1026
0,3.95,88,277,3444.0,20.89,46.5,269.71,91.5,92.0,91,18,40,10,50,55,3.147727272727273,1,1,1027
0,8.23,91,416,3444.0,23.83,116.62,88.8,87.0,92.0,82,5,40,10,34,25,4.571428571428571,2,1,1028
8,1.71,77,356,4550.0,19.16,105.43,111.24,93.0,105.0,81,43,26,7,46,39,4.623376623376624,2,1,1029
1,3.25,51,99,4081.1191335740073,24.3,136.36,140.31,107.5,122.0,93,32,28,2,67,7,1.9411764705882353,1,1,1030
8,2.73,110,483,4550.0,26.28,22.45,208.36,98.0,105.0,91,12,26,7,22,46,4.390909090909091,2,1,1031
6,6.7,103,537,4081.1191335740073,16.48,142.22,258.4,139.5,175.0,104,1,20,15,17,87,5.213592233009709,2,2,1032
7,5.19,23,511,2790.0,11.11,167.3,282.0,139.5,188.0,91,40,0,80,54,91,22.217391304347824,2,2,1033
6,1.72,40,517,4081.1191335740073,23.33,120.32,107.57,133.5,175.0,92,8,20,15,62,24,12.925,2,2,1034
9,8.36,49,374,5028.0,22.12,51.9,87.33,106.0,124.0,88,10,50,0,19,100,7.63265306122449,2,1,1035
9,6.41,116,344,5028.0,3.56,164.8,200.58,108.0,124.0,92,40,50,0,34,87,2.9655172413793105,2,1,1036
5,1.9,119,13,6209.0,27.42,156.7,56.67,140.5,190.0,91,23,0,71,31,61,0.1092436974789916,1,2,1037
1,8.26,66,35,4081.1191335740073,37.24,18.44,243.61,107.0,122.0,92,7,28,2,64,19,0.5303030303030303,1,1,1038
5,9.15,76,68,6209.0,4.47,127.48,100.18,142.0,190.0,94,10,0,71,5,89,0.8947368421052632,1,2,1039
6,3.5,60,313,4081.1191335740073,35.58,32.3,174.2,142.5,175.0,110,12,20,15,59,58,5.216666666666667,2,2,1040
0,2.92,83,272,3444.0,22.56,186.66,297.96,89.0,92.0,86,17,40,10,54,67,3.2771084337349397,1,1,1041
1,2.43,106,499,4081.1191335740073,6.6,10.53,170.77,105.0,122.0,88,35,28,2,53,92,4.7075471698113205,2,1,1042
1,8.3,120,383,4081.1191335740073,6.72,37.31,183.81,105.0,122.0,88,25,28,2,62,89,3.191666666666667,2,1,1043
3,1.0,94,150,4081.1191335740073,38.44,90.18,67.49,133.0,166.0,100,26,0,5,42,47,1.5957446808510638,1,2,1044
0,1.49,63,358,3444.0,17.44,29.12,121.33,90.0,92.0,88,29,40,10,31,80,5.682539682539683,2,1,1045
7,6.86,77,373,2790.0,11.12,69.85,76.1,139.0,188.0,90,30,0,80,27,48,4.8441558441558445,2,2,1046
10,7.19,111,34,1785.0,8.11,109.49,254.51,90.5,85.0,96,35,22,0,31,71,0.3063063063063063,1,1,1047
6,2.29,25,446,4081.1191335740073,10.79,185.68,80.4,132.0,175.0,89,37,20,15,46,20,17.84,2,2,1048
5,8.81,120,196,6209.0,26.87,126.1,227.44,148.5,190.0,107,14,0,71,6,27,1.6333333333333333,1,2,1049
7,5.38,102,541,2790.0,1.93,33.85,325.65,145.0,188.0,102,33,0,80,13,40,5.303921568627451,2,2,1050
4,7.61,80,88,4081.1191335740073,15.16,38.95,335.36,139.5,177.0,102,40,45,15,34,55,1.1,1,2,1051
2,2.7,25,529,4081.1191335740073,11.62,53.36,185.46,85.5,90.0,81,19,32,0,27,43,21.16,2,1,1052
10,6.12,39,18,1785.0,3.62,76.34,132.77,84.5,85.0,84,17,22,0,33,7,0.46153846153846156,1,1,1053
5,1.81,48,172,6209.0,11.42,97.53,215.27,140.5,190.0,91,8,0,71,7,16,3.5833333333333335,1,2,1054
1,8.24,41,392,4081.1191335740073,19.69,137.43,227.93,106.0,122.0,90,15,28,2,26,42,9.560975609756097,2,1,1055
9,8.34,107,306,5028.0,8.93,12.81,275.77,117.5,124.0,111,28,50,0,12,94,2.8598130841121496,2,2,1056
9,1.42,32,306,5028.0,20.3,64.43,277.93,108.5,124.0,93,24,50,0,17,77,9.5625,2,1,1057
9,4.73,85,417,5028.0,31.29,28.81,186.54,111.0,124.0,98,28,50,0,23,31,4.905882352941177,2,2,1058
8,5.88,65,365,4550.0,29.87,100.98,298.5,92.5,105.0,80,15,26,7,64,62,5.615384615384615,2,1,1059
7,7.19,94,185,2790.0,7.34,62.8,210.3,137.5,188.0,87,37,0,80,45,66,1.9680851063829787,1,2,1060
8,1.35,32,399,4550.0,5.0,173.65,207.25,104.5,105.0,104,17,26,7,15,76,12.46875,2,1,1061
3,2.74,102,473,4081.1191335740073,17.41,152.21,342.31,135.5,166.0,105,45,0,5,62,92,4.637254901960785,2,2,1062
9,2.96,59,465,5028.0,37.0,114.9,162.78,106.0,124.0,88,20,50,0,44,71,7.88135593220339,2,1,1063
1,4.82,108,406,4081.1191335740073,10.6,119.71,167.19,113.0,122.0,104,8,28,2,58,23,3.759259259259259,2,2,1064
1,2.54,74,196,4081.1191335740073,34.35,106.9,270.53,108.0,122.0,94,28,28,2,64,32,2.6486486486486487,1,1,1065
7,2.69,89,277,2790.0,15.32,21.36,319.6,139.5,188.0,91,2,0,80,57,16,3.1123595505617976,1,2,1066
6,2.14,67,518,4081.1191335740073,24.17,49.69,273.26,134.5,175.0,94,22,20,15,27,93,7.731343283582089,2,2,1067
2,3.95,68,435,4081.1191335740073,37.36,120.82,56.14,93.0,90.0,96,7,32,0,60,60,6.397058823529412,2,1,1068
8,3.44,118,181,4550.0,7.24,72.65,83.99,94.5,105.0,84,42,26,7,52,97,1.5338983050847457,1,1,1069
10,6.13,80,232,1785.0,33.87,197.68,161.72,97.0,85.0,109,12,22,0,54,36,2.9,1,1,1070
9,9.39,65,436,5028.0,34.15,36.99,317.34,104.0,124.0,84,3,50,0,45,92,6.707692307692308,2,1,1071
3,9.83,104,184,4081.1191335740073,6.25,26.52,297.7,126.0,166.0,86,42,0,5,56,41,1.7692307692307692,1,2,1072
4,7.41,46,375,4081.1191335740073,37.8,60.94,260.59,139.5,177.0,102,28,45,15,18,25,8.152173913043478,2,2,1073
7,3.38,43,392,2790.0,21.78,159.87,247.99,141.5,188.0,95,15,0,80,24,71,9.116279069767442,2,2,1074
2,2.56,85,312,4081.1191335740073,29.21,127.49,262.71,91.0,90.0,92,17,32,0,8,4,3.6705882352941175,2,1,1075
8,1.65,63,208,4550.0,28.94,171.44,161.58,94.5,105.0,84,10,26,7,49,26,3.3015873015873014,1,1,1076
2,3.0,102,64,4081.1191335740073,21.11,14.62,342.94,94.0,90.0,98,9,32,0,63,82,0.6274509803921569,1,1,1077
5,2.1,119,30,6209.0,30.4,132.11,221.96,148.0,190.0,106,43,0,71,65,71,0.25210084033613445,1,2,1078
8,1.27,68,526,4550.0,15.53,55.9,142.76,102.5,105.0,100,38,26,7,62,40,7.735294117647059,2,1,1079
9,5.11,86,511,5028.0,20.28,30.23,239.64,107.5,124.0,91,43,50,0,52,78,5.941860465116279,2,1,1080
